# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 372 245 1 -0.0888502 0.73004 0.00130156 0.00197562 0.00170377 0.104833 4.74411 -1.38862 -0.109297 2.91006 5 10 27.378 0.031177 0.786332 3 1 0 0 1 1 2
1 46 4560 373 245 0 0.0388053 0.881533 0.00120367 0.0015558 0.00110737 0.0755332 4.09162 5.96046 5.96046 -30 5 10 27.378 0.031177 0.786332 3 1 0 0 1 1 2
1 46 4560 278 248 0 0.656411 0.0811273 0.000255973 0.000468484 0.000381613 -0.018733 1.49672 -0.521908 5.54795 -30 6 12 27.2416 0.24193 0.136064 3 1 0 0 1 2 1
1 46 4560 8 254 0 0.056349 0.169077 0.000377525 0.00134883 0.000304184 -0.072494 6.41136 5.45583 5.45583 -30 6 12 27.1522 0.0300827 0.0334056 3 1 0 0 1 2 2
1 46 4560 24 254 1 0.178788 0.0499535 0.000291959 0.00110801 0.00145188 0.0548876 3.78921 -2.72585 -0.137338 5.26613 6 12 27.1522 0.0300827 0.0334056 3 1 0 0 1 1 2
1 46 4560 171 260 2 0.321462 0.786644 0.000703637 0.000875918 0.000545338 0.0415249 1.71416 0.84627 0.84627 2.59907 5 10 27.0108 -0.0135864 0.871773 3 1 0 0 1 2 2
1 46 4560 177 260 0 -0.0103632 0.961163 0.00148572 0.00183386 0.00184709 0.0897295 3.62402 6.63835 6.63835 -30 5 10 27.0108 -0.0135864 0.871773 3 1 0 0 1 3 2
1 46 4560 448 265 0 0.147377 0.1976 0.000347498 0.00109871 0.023776 0.0612084 2.45768 5.35536 5.35536 -30 6 12 26.9535 0.191117 0.23113 3 1 0 0 1 1 1
1 46 4560 139 267 0 0.0549666 0.400514 0.000588938 0.00133173 0.000648173 0.0754459 0.569897 6.82631 6.82631 -30 5 10 26.8959 0.0765385 0.375106 3 1 0 0 1 2 1
1 46 4560 4 273 0 0.112267 1.53819 0.00150088 0.0011372 3.25157e-05 -0.0558324 2.54903 -1.60218 6.86101 -30 5 10 26.7662 0.359501 1.51698 3 1 0 0 1 6 6
1 46 4560 7 273 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 0.196487 3.69265 -30 5 10 26.7662 0.359501 1.51698 3 1 0 0 1 5 6
1 46 4560 18 273 0 0.332434 1.527 0.000919987 0.000690302 0.0001155 0.0404088 4.25133 4.36603 4.36603 -30 5 10 26.7662 0.359501 1.51698 3 1 0 0 1 6 6
1 46 4560 23 273 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.913691 -0.324356 3.66487 5 10 26.7662 0.359501 1.51698 3 2 0 0 1 6 6
1 46 4560 29 273 0 0.520542 1.57458 0.0011231 0.000530409 0.000263046 0.0246453 4.74423 -0.376702 5.49129 -30 5 10 26.7662 0.359501 1.51698 3 1 0 0 1 4 6
1 46 4560 777 277 1 0.22962 2.42952 0.00441794 0.00106613 0.000638669 -0.0266615 12.7491 -2.20601 -0.141618 -0.0865542 5 10 26.7361 0.108458 2.39691 3 14 0 0 0 1 53
1 46 4560 4788 277 1 -0.0750097 2.35248 0.00285983 0.00186595 69.6633 -0.083248 31.945 -2.84717 -2.51192 4.60229 5 10 26.7361 0.108458 2.39691 3 36 0 0 0 1 53
1 46 4560 386 280 1 -0.066913 0.641849 0.00115919 0.00193023 0.00119192 -0.0960914 5.65135 -0.79458 -0.491059 3.7829 6 12 26.6418 0.0758535 0.579628 3 2 0 0 0 1 2
1 46 4560 225 296 0 0.0257298 1.51891 0.00158594 0.0015158 0.000428839 0.0837788 4.3115 5.30896 5.30896 5.67075 5 10 26.3533 0.0313122 1.51235 3 1 0 0 1 2 1
1 46 4560 397 298 0 0.132389 0.693586 0.000807643 0.0011889 7.45593 -0.0627456 5.86461 6.8367 6.8367 -30 5 10 26.3233 0.161595 0.757109 3 1 0 0 1 1 1
1 46 4560 1564 299 1 -0.0431772 2.35516 0.00507769 0.0022736 0.00014672 -0.0536291 16.9396 -1.641 -0.543447 2.14683 5 10 26.4564 0.251046 2.32299 3 8 0 0 0 1 46
1 46 4560 6037 299 1 0.207837 2.34284 0.00258811 0.000974464 10.5739 0.0443018 33.195 3.00989 3.00989 1.51319 5 10 26.4564 0.251046 2.32299 3 11 0 0 0 1 46
1 46 4560 8856 299 1 -0.010285 2.32645 0.00242035 0.00154373 16.0498 0.0953107 40.323 0.0274379 0.236583 -0.582067 5 10 26.4564 0.251046 2.32299 3 12 0 0 0 1 46
1 46 4560 203 300 0 0.086698 0.0769182 0.000296368 0.00129675 0.000347889 0.0701306 6.59244 -1.34746 6.58834 -30 6 12 26.2863 0.282358 0.0599543 3 1 0 0 1 2 1
1 46 4560 265 302 0 0.370664 1.42869 0.000898375 0.000694387 7.38521 0.0377698 8.14532 0.506378 6.06138 5.34835 5 10 26.2549 0.0284654 1.5015 3 2 0 0 0 2 2
1 46 4560 324 303 0 -0.0245229 1.59137 0.00167658 0.00147435 0.651466 0.0807912 8.36526 2.64356 6.42404 -30 6 12 26.4688 0.0404082 1.54493 3 1 0 0 1 2 3
1 46 4560 197 312 1 0.0349566 1.69319 0.00176332 0.00115598 42.827 -0.056551 12.622 -2.90813 -1.40535 2.66551 6 12 28.4925 0.223773 1.74757 3 4 0 0 0 1 4
1 46 4560 147 317 0 0.0688552 1.03777 0.00131284 0.0015392 0.0011398 -0.0700078 3.49683 6.16422 6.16422 -30 5 10 25.8757 0.0358404 0.966203 3 1 0 0 1 2 2
1 46 4560 177 317 0 -0.0103632 0.961163 0.00148572 0.00183386 0.00184709 0.0897295 3.62402 -2.29389 6.63835 -30 5 10 25.8757 0.0358404 0.966203 3 1 0 0 1 3 2
1 46 4560 8 327 0 0.056349 0.169077 0.000377525 0.00134883 0.000304184 -0.072494 6.41136 -5.26207 5.45583 -30 6 12 25.4696 -0.0719439 0.270398 3 1 0 0 1 2 1
1 46 4560 500 328 0 0.346803 0.566248 0.000516407 0.000742866 0.000310371 0.037141 0.115132 6.27545 6.27545 -30 6 12 27.6148 0.31043 0.538205 3 1 0 0 1 3 1
1 46 4560 458 340 1 0.0538375 1.72704 0.00146353 0.00130129 9.64484e-06 -0.0652919 4.23728 1.19284 1.19284 2.81389 5 10 25.9512 0.234253 1.6237 3 1 0 0 1 1 1
