# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 171 682 2 0.321462 0.786644 0.000703637 0.000875918 0.000545338 0.0415249 1.71416 -1.40591 0.84627 2.59907 6 12 27.4233 0.320073 0.909535 3 1 0 0 1 2 1
1 46 4560 7 683 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 -0.538968 3.69265 -30 7 14 27.5497 0.115841 1.52084 3 1 0 0 1 5 3
1 46 4560 23 683 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -1.76359 -0.324356 3.66487 7 14 27.5497 0.115841 1.52084 3 2 0 0 1 6 3
1 46 4560 552 694 1 -0.0936389 0.934295 0.0017212 0.00220169 6.09974e-05 0.102469 0.16009 -1.08483 -0.405342 3.62471 5 10 19.3741 -0.0529147 1.0025 2 1 0 0 1 1 1
1 46 4560 531 727 1 -0.0942465 1.05599 0.0018761 0.00224184 0.00014586 -0.102395 1.84725 -0.538297 -0.538297 2.56199 6 12 25.9069 -0.0795257 1.11088 3 1 0 0 1 2 1
1 46 4560 504 735 1 0.0766789 0.031395 0.000309677 0.00137603 0.000708641 0.0698221 3.46884 1.19477 1.19477 2.155 5 10 18.1628 0.0288831 0.0567486 2 1 0 0 1 1 1
1 46 4560 893 755 1 0.0775991 1.98068 0.00188219 0.00132746 0.00191647 0.0576645 9.44056 -1.17122 1.99452 2.94461 5 10 19.7176 0.390909 2.00908 2 3 0 0 1 4 7
1 46 4560 794 761 0 -0.0521091 1.64073 0.00169943 0.00157128 140.102 0.0888382 16.1113 -0.662192 -0.662192 3.2069 6 12 25.0205 0.0492638 1.61656 3 8 0 0 0 1 8
1 46 4560 385 767 1 0.0897028 1.69766 0.00174794 0.00122324 0.00136462 0.0564381 7.36176 0.426258 2.33642 4.59086 5 10 18.7861 -0.0705255 1.7351 2 4 0 0 0 1 4
1 46 4560 484 769 1 -0.0807832 0.0777444 0.000289309 0.00182439 0.00527239 0.102286 7.6435 -3.1488 -1.94841 0.628516 5 10 15.3369 0.490086 0.172898 2 1 0 0 1 1 1
