events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
e24_up                1.5     0.140     0.000     1.333     0.093      0.10     0.280
e24_up                2.0     0.130     0.000     0.893     0.070      0.15     0.260
e24_up                2.5     0.107     0.000     0.577     0.053      0.18     0.213
e24_up                3.0     0.083     0.000     0.377     0.040      0.22     0.167
e24_up                3.5     0.043     0.000     0.203     0.023      0.21     0.087
e24_up                4.0     0.000     0.000     0.060     0.003      0.00     0.000
e24_up                4.5     0.000     0.000     0.027     0.003      0.00     0.000
e24_up                5.0     0.000     0.000     0.023     0.003      0.00     0.000
e24_up                5.5     0.000     0.000     0.013     0.000      0.00     0.000
e24_up                6.0     0.000     0.000     0.013     0.000      0.00     0.000
e24_up                6.5     0.000     0.000     0.003     0.000      0.00     0.000
e24_up                7.0     0.000     0.000     0.003     0.000      0.00     0.000
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)
