events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
ENDCAP >1.7          -0.5     2.213     0.013     4.880     0.620      0.46     4.453   -0.00110
ENDCAP >1.7           0.0     0.730     0.003     1.190     0.283      0.62     1.467   -0.00027
ENDCAP >1.7           0.5     0.327     0.003     0.290     0.160      1.14     0.660   -0.00007
ENDCAP >1.7           1.0     0.277     0.000     0.197     0.113      1.41     0.553   -0.00004
ENDCAP >1.7           1.5     0.227     0.000     0.147     0.083      1.55     0.453   -0.00003
ENDCAP >1.7           2.0     0.193     0.000     0.113     0.063      1.71     0.387   -0.00003
ENDCAP >1.7           2.5     0.157     0.000     0.090     0.053      1.74     0.313   -0.00002
ENDCAP >1.7           3.0     0.140     0.000     0.063     0.043      2.21     0.280   -0.00001
ENDCAP >1.7           3.5     0.097     0.000     0.047     0.037      2.07     0.193   -0.00001
ENDCAP >1.7           4.0     0.070     0.000     0.037     0.037      1.91     0.140   -0.00001
ENDCAP >1.7           4.5     0.057     0.000     0.033     0.030      1.70     0.113   -0.00001
ENDCAP >1.7           5.0     0.043     0.000     0.033     0.030      1.30     0.087   -0.00001
ENDCAP >1.7           5.5     0.033     0.000     0.030     0.027      1.11     0.067   -0.00001
ENDCAP >1.7           6.0     0.033     0.000     0.027     0.027      1.25     0.067   -0.00001
ENDCAP >1.7           6.5     0.030     0.000     0.027     0.027      1.12     0.060   -0.00001
ENDCAP >1.7           7.0     0.030     0.000     0.027     0.027      1.12     0.060   -0.00001
ENDCAP >1.7           7.5     0.030     0.000     0.023     0.027      1.29     0.060   -0.00001
ENDCAP >1.7           8.0     0.030     0.000     0.023     0.027      1.29     0.060   -0.00001
ENDCAP >1.7           8.5     0.030     0.000     0.023     0.027      1.29     0.060   -0.00001
ENDCAP >1.7           9.0     0.030     0.000     0.023     0.027      1.29     0.060   -0.00001
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bidMarginAnyDR  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain  d_eff_est
BARREL |eta|<1.1     -2.0     7.677     0.060    40.303     1.290      0.19    15.473   -0.01895
BARREL |eta|<1.1     -1.5     7.440     0.010     9.510     0.330      0.78    14.900   -0.00447
BARREL |eta|<1.1     -1.0     7.320     0.007     7.340     0.250      1.00    14.653   -0.00345
BARREL |eta|<1.1     -0.5     7.110     0.003     5.557     0.170      1.28    14.227   -0.00261
BARREL |eta|<1.1      0.0     6.597     0.000     4.027     0.100      1.64    13.193   -0.00189
BARREL |eta|<1.1      0.5     6.067     0.000     2.917     0.077      2.08    12.133   -0.00137
BARREL |eta|<1.1      1.0     5.577     0.000     2.173     0.067      2.57    11.153   -0.00102
BARREL |eta|<1.1      1.5     5.030     0.000     1.647     0.050      3.05    10.060   -0.00077
BARREL |eta|<1.1      2.0     4.397     0.000     1.167     0.043      3.77     8.793   -0.00055
BARREL |eta|<1.1      2.5     3.687     0.000     0.817     0.023      4.51     7.373   -0.00038
BARREL |eta|<1.1      3.0     3.003     0.000     0.520     0.013      5.78     6.007   -0.00024
BARREL |eta|<1.1      3.5     2.297     0.000     0.330     0.007      6.96     4.593   -0.00016
BARREL |eta|<1.1      4.0     1.747     0.000     0.210     0.003      8.32     3.493   -0.00010
BARREL |eta|<1.1      4.5     1.343     0.000     0.140     0.003      9.60     2.687   -0.00007
BARREL |eta|<1.1      5.0     0.920     0.000     0.100     0.003      9.20     1.840   -0.00005
BARREL |eta|<1.1      5.5     0.640     0.000     0.093     0.003      6.86     1.280   -0.00004
BARREL |eta|<1.1      6.0     0.510     0.000     0.090     0.003      5.67     1.020   -0.00004
BARREL |eta|<1.1      6.5     0.450     0.000     0.090     0.003      5.00     0.900   -0.00004
BARREL |eta|<1.1      7.0     0.437     0.000     0.090     0.003      4.85     0.873   -0.00004
BARREL |eta|<1.1      7.5     0.430     0.000     0.090     0.003      4.78     0.860   -0.00004
BARREL |eta|<1.1      8.0     0.430     0.000     0.090     0.003      4.78     0.860   -0.00004
BARREL |eta|<1.1      8.5     0.427     0.000     0.090     0.003      4.74     0.853   -0.00004
BARREL |eta|<1.1      9.0     0.427     0.000     0.090     0.003      4.74     0.853   -0.00004
TRANS 1.1-1.7        -2.0     3.237     0.097    18.970     2.077      0.18     6.667   -0.00981
TRANS 1.1-1.7        -1.5     3.023     0.010     4.847     0.347      0.63     6.067   -0.00251
TRANS 1.1-1.7        -1.0     2.907     0.007     3.823     0.250      0.76     5.827   -0.00198
