# events parsed=1000  completed=992  CRASHED=8 (0.8%)
# crashed event indices: 5 85 217 306 496 515 646 972

## per-stage ms/evt over the 992 completed events
stage         mean    median       p90       p99       max
Hits          1.18      1.17      1.45      1.65      1.85
MD            1.01      0.98      1.38      1.74      2.31
LS            3.20      2.94      5.07      7.70     10.81
T3           54.23     37.78    117.24    282.39    381.38
Graph      2934.40   1156.23   7277.52  25960.12  33382.59
pLS           0.40      0.33      0.77      1.40      2.59
Chain        19.30     10.24     43.44    135.53    313.69
TC            0.37      0.37      0.65      0.97      1.39
Reset        26.99     10.48     68.84    233.52    337.73
Total      3014.10   1213.42   7400.93  26459.61  33908.11

## graph size distribution (all events with a [CHAIN] line, crashers included)
nHits    mean         7818  median       7685  p90      11254  p99      13978  max      15721
nMDalloc mean         2565  median       2506  p90       3743  p99       4687  max       5519
mdUsed   mean          977  median        940  p90       1458  p99       1840  max       2210
nT3      mean        81663  median      58755  p90     175836  p99     397944  max     601655
E1       mean     18410974  median    6728747  p90   43482099  p99  175608057  max  382407452
E2       mean      1047708  median     536928  p90    2438586  p99    8134950  max   16522641
E        mean     19458682  median    7302680  p90   45606130  p99  184335732  max  398930093

## the 4 GiB ChainEdges wall (E > 204522252 rows)
#   events over the wall: 8 / 1000 (0.80%)
#   evt 972  nT3=601655   E1=382407452   E2=16522641  E=398930093   needs   8377.5 MB  OVER WALL / crash
#   evt 85   nT3=457806   E1=305912527   E2=9182795   E=315095322   needs   6617.0 MB  OVER WALL / crash
#   evt 646  nT3=475090   E1=293917028   E2=11581431  E=305498459   needs   6415.5 MB  OVER WALL / crash
#   evt 496  nT3=471250   E1=291824409   E2=12380364  E=304204773   needs   6388.3 MB  OVER WALL / crash
#   evt 217  nT3=440654   E1=236144098   E2=10147299  E=246291397   needs   5172.1 MB  OVER WALL / crash
#   evt 5    nT3=377082   E1=214163878   E2=7164830   E=221328708   needs   4647.9 MB  OVER WALL / crash
#   evt 306  nT3=476399   E1=210467457   E2=8967486   E=219434943   needs   4608.1 MB  OVER WALL / crash
#   evt 515  nT3=424028   E1=207137730   E2=9274888   E=216412618   needs   4544.7 MB  OVER WALL / crash
#   evt 776  nT3=451147   E1=183892458   E2=8465076   E=192357534   needs   4039.5 MB  
#   evt 42   nT3=373575   E1=181359773   E2=7177710   E=188537483   needs   3959.3 MB  
#   evt 744  nT3=453511   E1=175549959   E2=8743331   E=184293290   needs   3870.2 MB  
#   evt 725  nT3=392711   E1=174529531   E2=6121681   E=180651212   needs   3793.7 MB  

## E1 scaling law
#   mean-field prediction E1 ~ nT3^2 / nMDkeysUsed:
#     E1 / (nT3^2/K):  median 1.845  p10 1.237  p90 2.760   (1.0 = uniform degrees)
#   E1 = 4.822e-02 * nT3^1.709    (log-log R^2 = 0.965)
#   E1 = 4.657e+02 * nHits^1.063    (log-log R^2 = 0.052)
#   E1 = 3.131e+01 * nMDalloc^1.563    (log-log R^2 = 0.118)
#   E1 = 3.754 * (nT3^2/K)^0.952    (log-log R^2 = 0.964)

## Graph ms vs E (the chain block is edge-count bound)
#   Graph_ms = 0.1741 us/edge * E + -90.64 ms   (corr 0.9998)

## peak RSS
#   median 494 MB  p90 1226 MB  max 4293 MB

csv,evt,crash,nHits,nMDalloc,mdUsed,nT3,E1,E2,E,edgeMB,memMB,rssMB,T3ms,Graphms,Chainms,Totalms
csv,84,0,7421,2504,927,34247,1953588,244112,2197700,46.2,63.1,391.4,23.32,348.18,6.25,383.58
csv,85,1,9871,3589,1431,457806,305912527,9182795,315095322,2322.0,0.0,582.3,0.00,0.00,0.00,0.00
csv,86,0,4942,1645,699,30889,2102311,223354,2325665,48.8,63.0,392.3,18.48,365.81,4.23,392.66
csv,87,0,6381,2332,709,8260,176690,34769,211459,4.4,11.1,342.8,6.17,36.16,2.01,48.98
csv,88,0,7679,2683,1017,51189,4433729,403309,4837038,101.6,128.5,451.9,41.61,777.26,6.86,831.95
csv,89,0,9389,3220,1102,67913,8411414,699870,9111284,191.3,218.1,538.4,41.71,1453.98,16.36,1518.53
csv,90,0,7699,2415,1145,74963,11752426,742658,12495084,262.4,289.9,606.2,47.15,2043.95,15.23,2111.88
csv,91,0,10193,3934,1750,258477,56234956,2469735,58704691,1232.8,1367.3,1579.6,286.75,10309.13,84.70,10695.16
csv,92,0,10380,3827,1496,263483,62233114,3112461,65345575,1372.3,1481.6,1708.5,214.23,11490.22,79.02,11792.85
csv,93,0,6427,2022,916,55087,8285350,640609,8925959,187.4,210.4,530.5,33.02,1419.50,8.14,1465.83
csv,94,0,4910,1543,698,23883,1472857,146253,1619110,34.0,46.2,374.7,15.91,260.48,4.44,284.94
csv,95,0,7835,2784,1061,144495,32641905,1754007,34395912,722.3,791.1,1063.8,141.87,5697.83,47.45,5895.68
csv,96,0,4830,1714,685,43131,3711815,309351,4021166,84.4,103.7,427.4,29.61,633.07,7.18,674.81
csv,97,0,9909,3561,1468,179594,49461705,2891314,52353019,1099.4,1156.9,1427.4,95.85,8936.80,33.59,9075.07
csv,98,0,8079,2358,956,43180,4695490,410581,5106071,107.2,125.4,451.7,27.07,839.47,10.06,882.25
csv,99,0,10306,3790,1041,115785,24777079,1876821,26653900,559.7,589.2,895.7,41.12,4398.72,32.41,4478.98
csv,100,0,9364,3146,929,35832,3749773,337422,4087195,85.8,101.7,432.1,21.74,669.00,6.53,702.65
csv,101,0,3893,1329,523,32449,3042209,322172,3364381,70.7,82.0,413.5,13.26,526.78,3.52,547.09
csv,102,0,5817,1902,827,86374,13787155,949563,14736718,309.5,344.4,652.7,60.78,2372.61,11.45,2449.93
csv,103,0,6987,1984,794,14511,548355,70372,618727,13.0,22.3,354.9,11.12,97.53,3.17,116.38
csv,104,0,7176,2489,1325,307263,130380748,5459246,135839994,2852.6,2965.0,3130.3,208.25,23985.24,90.90,24294.04
csv,105,0,9274,2542,872,23457,2340658,231236,2571894,54.0,63.8,393.8,10.69,399.47,3.33,418.24
csv,106,0,5722,1963,871,30986,2358140,221285,2579425,54.2,70.1,397.2,20.32,394.37,3.22,422.74
csv,107,0,7306,2626,1512,194347,28660566,1244922,29905488,628.0,741.6,993.1,322.57,5037.01,313.69,5687.14
csv,108,0,5216,1979,688,24082,1428770,160173,1588943,33.4,45.7,372.9,15.60,241.02,3.59,264.58
csv,109,0,9569,2971,1300,43387,2958496,303278,3261774,68.5,96.7,417.5,45.08,524.93,13.81,591.74
csv,110,0,11807,4116,1565,52259,3313195,373464,3686659,77.4,101.4,421.9,33.61,614.93,16.05,672.33
csv,111,0,7805,2472,1197,45476,3505203,368117,3873320,81.3,101.4,427.7,28.34,626.83,11.57,673.03
csv,112,0,7384,2306,1184,62924,7533608,562158,8095766,170.0,199.9,517.7,56.00,1342.85,34.94,1441.30
csv,113,0,3455,1233,450,10844,473809,70546,544355,11.4,17.5,349.2,5.34,86.02,1.64,96.30
csv,114,0,7830,2604,1074,80540,9785901,714947,10500848,220.5,258.7,570.3,63.70,1665.51,13.89,1750.37
csv,115,0,9446,3391,1216,165375,30700531,1762320,32462851,681.7,745.3,1027.3,119.81,5418.51,50.44,5598.12
csv,116,0,9732,3144,1171,53702,4662778,445913,5108691,107.3,128.4,452.3,30.67,838.14,10.09,885.05
csv,117,0,10800,3506,859,28488,1363137,187937,1551074,32.6,45.1,377.8,15.71,245.21,9.41,276.28
csv,118,0,8913,2665,1291,79538,14997772,813794,15811566,332.0,366.3,675.2,57.13,2564.13,13.41,2642.33
csv,119,0,11541,3917,1484,54999,5303345,469682,5773027,121.2,149.0,470.0,40.86,937.00,14.69,1001.13
csv,120,0,2682,849,452,16146,1033306,77749,1111055,23.3,33.2,361.8,12.36,167.91,4.02,187.69
csv,121,0,9030,2988,863,37262,2959673,316910,3276583,68.8,86.1,414.2,23.26,527.33,7.24,564.02
csv,122,0,7353,2839,1258,69653,10478633,660568,11139201,233.9,259.9,577.3,37.67,1792.15,10.69,1846.76
