csv,label,evt,nT3,nMD,nMDused,nLS,E1,E2,maxDegIn,maxDegOut,keep8,keep16,keep32,keep64,keep128,keep256,keep512,keep1024,keep2048
csv,PU200,9,38640,22083,20122,36706,69360,29167,89,167,35502,48340,61140,68401,69360,69360,69360,69360,69360
csv,PU200,10,43980,21260,19495,38321,105758,41503,127,132,40045,58731,80041,100606,105758,105758,105758,105758,105758
csv,PU200,11,28822,18086,16482,28004,34233,20918,73,272,25232,30685,32904,33823,34034,34231,34233,34233,34233
csv,PU200,12,45563,23189,21298,41735,81087,35538,87,195,42370,58976,71175,78313,80172,81087,81087,81087,81087
csv,PU200,13,58553,28134,25861,53580,106096,43236,85,104,58015,83750,100463,105419,106096,106096,106096,106096,106096
csv,PU200,14,37136,19893,18184,34076,71946,29444,96,73,35341,51504,65619,71664,71946,71946,71946,71946,71946
csv,PU200,15,60300,25817,23690,49626,545392,77207,191,234,54934,86240,128381,225381,440931,545392,545392,545392,545392
csv,PU200,16,27857,17495,16023,27053,31118,19175,43,112,22858,27841,30589,31118,31118,31118,31118,31118,31118
csv,PU200,17,26169,15687,14262,24588,32628,17927,103,154,21655,26613,29705,32073,32628,32628,32628,32628,32628
csv,PU200,18,42994,24233,22119,41472,57025,29949,74,122,39621,49920,55197,56915,57025,57025,57025,57025,57025
csv,PU200,19,48124,22757,20939,42178,84228,37840,138,119,44395,62866,77176,82832,84228,84228,84228,84228,84228
csv,PU200,20,46301,22820,20875,40220,97158,40709,97,138,42158,61327,78501,91504,97088,97158,97158,97158,97158
csv,PU200,21,46041,24834,22719,44109,62989,31811,75,121,41454,54930,61168,62410,62989,62989,62989,62989,62989
csv,PU200,22,31476,17552,16082,29430,41940,21013,234,243,26334,34499,38466,40182,41290,41940,41940,41940,41940
csv,PU200,23,42230,22298,20337,39463,67374,31815,69,138,40930,54061,62181,65670,67304,67374,67374,67374,67374
csv,PU200,24,48868,22002,20247,40191,104862,38417,278,408,40282,58900,79550,100215,104110,104697,104862,104862,104862
csv,PU200,25,79972,35269,32547,72217,139961,60738,157,200,79884,111267,129317,137518,139496,139961,139961,139961,139961
csv,PU200,26,41545,21346,19538,38050,72631,32382,106,131,41829,57399,66369,71375,72622,72631,72631,72631,72631
csv,PU200,27,31744,19386,17764,30539,38914,21346,107,83,27671,34148,37082,38745,38914,38914,38914,38914,38914
csv,PU200,28,38316,22141,20244,37174,67482,29454,88,86,36592,49295,62703,67366,67482,67482,67482,67482,67482
csv,PU200,29,31048,17308,15819,28983,42033,19598,267,331,24823,30884,34335,36188,38701,41808,42033,42033,42033
csv,PU200,30,56841,28340,26003,51842,82172,39959,109,86,53962,71896,80083,81782,82172,82172,82172,82172,82172
csv,PU200,31,49682,24750,22766,44769,87370,37053,109,150,44935,62198,76075,84741,87238,87370,87370,87370,87370
csv,PU200,32,48720,24181,22210,44349,87723,41404,98,318,45639,64736,79964,86517,87533,87661,87723,87723,87723
csv,PU200,33,37706,20904,19157,35262,49644,26827,135,175,34214,44261,48642,49640,49644,49644,49644,49644,49644
csv,PU200,34,26669,17220,15637,26348,34200,19069,67,81,23931,30517,33693,34200,34200,34200,34200,34200,34200
csv,PU200,35,40971,21835,19879,37824,69847,32733,94,157,37763,52886,65909,69044,69760,69847,69847,69847,69847
csv,PU200,36,55603,27219,25036,51168,91003,42116,61,212,56209,76406,86167,89515,90625,91003,91003,91003,91003
csv,PU200,37,44102,21714,19967,38871,147144,44433,141,123,39768,60679,86462,122337,146537,147144,147144,147144,147144
csv,PU200,38,40031,21127,19316,36343,69906,30189,207,141,35600,50669,63089,68822,69811,69906,69906,69906,69906
csv,PU200,39,51355,25998,23793,46731,75588,37436,289,228,48547,63998,71986,75240,75588,75588,75588,75588,75588
csv,PU200,40,42955,22509,20654,39602,61801,30457,116,298,39982,53019,57793,59716,60781,61549,61801,61801,61801
csv,PU200,41,40811,21850,20023,38196,63493,30004,125,126,39219,54818,61724,63339,63493,63493,63493,63493,63493
csv,PU200,42,56324,24958,22865,49238,99666,44078,230,190,52856,77237,93288,97504,99128,99666,99666,99666,99666
csv,PU200,43,39457,21801,19899,36732,54583,29031,80,180,34430,44197,49522,52676,54233,54583,54583,54583,54583
csv,PU200,44,31095,15436,14039,25649,121955,32937,118,134,22078,34030,54401,96573,121954,121955,121955,121955,121955
csv,PU200,45,44404,24436,22354,42211,57910,30157,59,99,39960,50713,56417,57866,57910,57910,57910,57910,57910
csv,PU200,46,34924,20116,18362,32970,41185,22412,122,121,28196,35772,39736,40958,41185,41185,41185,41185,41185
csv,PU200,47,40584,21815,19966,38612,56864,28569,77,231,38320,49329,55164,56774,56864,56864,56864,56864,56864
csv,PU200,48,41886,22226,20419,39473,59361,30592,86,93,39319,52359,58251,59129,59361,59361,59361,59361,59361
csv,PU200,49,63285,29169,26710,56293,127213,49342,123,286,59192,87568,114194,123489,124903,126823,127213,127213,127213
csv,PU200,50,28879,17743,16034,27904,37904,20213,70,77,25866,33860,37062,37902,37904,37904,37904,37904,37904
csv,PU200,51,38983,21934,19949,36280,55162,28719,98,165,35218,46076,52602,55036,55162,55162,55162,55162,55162
